Date,Actual_Close,Predicted_Close,Signal,Market_Return,Stop_Loss_Return,Protected_Return,Strategy_Return,Prediction_Change,Position_Size,Trade,Transaction_Cost,Net_Return,Portfolio_Value,Expected_Return,WF_CVaR_Position,WF_CVaR_Turnover,WF_CVaR_Limit,WF_CVaR_Value,WF_CVaR_Net_Return,WF_CVaR_Portfolio_Value
2024-08-02,24814.001476001897,25110.24,1,,,,,0.0119383616658765,1.0,,,0.0,100000.0,,0.0,0.0,,0.0,0.0,100000.0
2024-08-05,24345.283345295105,24949.012,1,-0.0188892602090032,-0.0188892602090032,-0.0188892602090032,-0.0188892602090032,0.0247985881347964,1.0,0.0,0.0,-0.0188892602090032,98111.07397909967,0.0119383616658765,0.0,0.0,,,-0.0,100000.0
2024-08-06,24173.14558488854,24495.863,1,-0.0070706821508336,-0.0070706821508336,-0.0070706821508336,-0.0070706821508336,0.0133502449641142,1.0,0.0,0.0,-0.0070706821508336,97417.36175951654,0.0247985881347964,0.0,0.0,,,-0.0,100000.0
2024-08-07,24245.496922854287,24248.379,1,0.0029930460523506,0.0029930460523506,0.0029930460523506,0.0029930460523506,0.0001188706156398,0.2,0.0,0.0,0.0005986092104701,97475.6766895255,0.0133502449641142,0.0,0.0,,,0.0,100000.0
2024-08-08,24163.47915263329,24236.637,1,-0.0033828042577129,-0.0033828042577129,-0.0033828042577129,-0.0033828042577129,0.0030276206048224,0.2,0.0,0.0,-0.0006765608515425,97409.72846269974,0.0001188706156398,0.0,0.0,,,-0.0,100000.0
2024-08-09,24290.16916573681,24374.064,1,0.0052430369113347,0.0052430369113347,0.0052430369113347,0.0052430369113347,0.0034538596125352,0.2,0.0,0.0,0.0010486073822669,97511.87302307034,0.0030276206048224,0.0,0.0,,,0.0,100000.0
2024-08-12,24325.31683666219,24420.643,1,0.0014469916074095,0.0014469916074095,0.0014469916074095,0.0014469916074095,0.0039188045926759,0.2,0.0,0.0,0.0002893983214819,97540.09279544778,0.0034538596125352,0.0,0.0,,,0.0,100000.0
2024-08-13,24210.1550854523,24395.643,1,-0.0047342343774253,-0.0047342343774253,-0.0047342343774253,-0.0047342343774253,0.0076615748182116,0.5,0.0,0.0,-0.0023671171887126,97309.20396520304,0.0039188045926759,0.0,0.0,,,-0.0,100000.0
2024-08-14,24169.11388173704,24376.787,1,-0.001695206146776,-0.001695206146776,-0.001695206146776,-0.001695206146776,0.0085925002993131,0.5,0.0,0.0,-0.000847603073388,97226.7243848532,0.0076615748182116,0.0,0.0,,,-0.0,100000.0
2024-08-16,24399.04558289426,24285.959,-1,0.0095134518494268,0.0095134518494268,0.0095134518494268,0.0095134518494268,-0.0046348773155924,0.2,2.0,0.002,-9.730963011462634e-05,97217.26328826604,0.0085925002993131,0.0,0.0,,,0.0,100000.0
